,state,fips,cases,deaths,employed-sugar-intake-daily
0,California,6,1,0,22.9 
1,Arizona,4,1,0,33.0 
2,California,6,2,0,22.9 
3,Arizona,4,1,0,33.0 
4,California,6,2,0,22.9 
5,Arizona,4,1,0,33.0 
6,California,6,2,0,22.9 
7,Arizona,4,1,0,33.0 
8,California,6,2,0,22.9 
9,Arizona,4,1,0,33.0 
10,California,6,2,0,22.9 
11,Arizona,4,1,0,33.0 
12,California,6,3,0,22.9 
13,Arizona,4,1,0,33.0 
14,California,6,3,0,22.9 
15,Arizona,4,1,0,33.0 
16,California,6,6,0,22.9 
17,Arizona,4,1,0,33.0 
18,California,6,6,0,22.9 
19,Arizona,4,1,0,33.0 
20,California,6,6,0,22.9 
21,Arizona,4,1,0,33.0 
22,California,6,6,0,22.9 
23,Wisconsin,55,1,0,29.7 
24,Arizona,4,1,0,33.0 
25,California,6,6,0,22.9 
26,Wisconsin,55,1,0,29.7 
27,Arizona,4,1,0,33.0 
28,California,6,6,0,22.9 
29,Wisconsin,55,1,0,29.7 
30,Arizona,4,1,0,33.0 
31,California,6,6,0,22.9 
32,Wisconsin,55,1,0,29.7 
33,Arizona,4,1,0,33.0 
34,California,6,6,0,22.9 
35,Wisconsin,55,1,0,29.7 
36,Arizona,4,1,0,33.0 
37,California,6,7,0,22.9 
38,Wisconsin,55,1,0,29.7 
39,Arizona,4,1,0,33.0 
40,California,6,7,0,22.9 
41,Wisconsin,55,1,0,29.7 
42,Arizona,4,1,0,33.0 
43,California,6,7,0,22.9 
44,Wisconsin,55,1,0,29.7 
45,Arizona,4,1,0,33.0 
46,California,6,7,0,22.9 
47,Wisconsin,55,1,0,29.7 
48,Arizona,4,1,0,33.0 
49,California,6,7,0,22.9 
50,Wisconsin,55,1,0,29.7 
51,Arizona,4,1,0,33.0 
52,California,6,7,0,22.9 
53,Wisconsin,55,1,0,29.7 
54,Arizona,4,1,0,33.0 
55,California,6,7,0,22.9 
56,Wisconsin,55,1,0,29.7 
57,Arizona,4,1,0,33.0 
58,California,6,7,0,22.9 
59,Nebraska,31,10,0,31.1 
60,Wisconsin,55,1,0,29.7 
61,Arizona,4,1,0,33.0 
62,California,6,7,0,22.9 
63,Nebraska,31,10,0,31.1 
64,Wisconsin,55,1,0,29.7 
65,Arizona,4,1,0,33.0 
66,California,6,7,0,22.9 
67,Nebraska,31,10,0,31.1 
68,Wisconsin,55,1,0,29.7 
69,Arizona,4,1,0,33.0 
70,California,6,8,0,22.9 
71,Nebraska,31,11,0,31.1 
72,Wisconsin,55,1,0,29.7 
73,Arizona,4,1,0,33.0 
74,California,6,9,0,22.9 
75,Nebraska,31,11,0,31.1 
76,Wisconsin,55,1,0,29.7 
77,Arizona,4,1,0,33.0 
78,California,6,9,0,22.9 
79,Nebraska,31,11,0,31.1 
80,Wisconsin,55,1,0,29.7 
81,Arizona,4,1,0,33.0 
82,California,6,9,0,22.9 
83,Nebraska,31,11,0,31.1 
84,Wisconsin,55,1,0,29.7 
85,Arizona,4,1,0,33.0 
86,California,6,11,0,22.9 
87,Nebraska,31,12,0,31.1 
88,Wisconsin,55,1,0,29.7 
89,Arizona,4,1,0,33.0 
90,California,6,11,0,22.9 
91,Nebraska,31,13,0,31.1 
92,Utah,49,1,0,30.3 
93,Wisconsin,55,1,0,29.7 
94,Arizona,4,1,0,33.0 
95,California,6,26,0,22.9 
96,Nebraska,31,13,0,31.1 
97,Utah,49,1,0,30.3 
98,Wisconsin,55,1,0,29.7 
99,Arizona,4,1,0,33.0 
100,California,6,26,0,22.9 
101,Nebraska,31,13,0,31.1 
102,Utah,49,1,0,30.3 
103,Wisconsin,55,1,0,29.7 
104,Arizona,4,1,0,33.0 
105,California,6,27,0,22.9 
106,Nebraska,31,13,0,31.1 
107,Utah,49,1,0,30.3 
108,Wisconsin,55,1,0,29.7 
109,Arizona,4,1,0,33.0 
110,California,6,28,0,22.9 
111,Nebraska,31,13,0,31.1 
112,Utah,49,1,0,30.3 
113,Wisconsin,55,1,0,29.7 
114,Arizona,4,1,0,33.0 
115,California,6,33,0,22.9 
116,Nebraska,31,13,0,31.1 
117,New York,36,1,0,23.1 
118,Utah,49,1,0,30.3 
119,Wisconsin,55,1,0,29.7 
120,Arizona,4,1,0,33.0 
121,California,6,38,0,22.9 
122,Nebraska,31,13,0,31.1 
123,New York,36,1,0,23.1 
124,Utah,49,1,0,30.3 
125,Wisconsin,55,1,0,29.7 
126,Arizona,4,2,0,33.0 
127,California,6,45,0,22.9 
128,Nebraska,31,13,0,31.1 
129,New York,36,2,0,23.1 
130,North Carolina,37,1,0,42.1 
131,Utah,49,1,0,30.3 
132,Wisconsin,55,1,0,29.7 
133,Arizona,4,2,0,33.0 
134,California,6,55,1,22.9 
135,Nebraska,31,13,0,31.1 
136,New Jersey,34,1,0,22.7 
137,New York,36,11,0,23.1 
138,North Carolina,37,1,0,42.1 
139,Utah,49,1,0,30.3 
140,Wisconsin,55,1,0,29.7 
141,Arizona,4,2,0,33.0 
142,California,6,67,1,22.9 
143,Maryland,24,3,0,28.0 
144,Nebraska,31,13,0,31.1 
145,New Jersey,34,2,0,22.7 
146,New York,36,22,0,23.1 
147,North Carolina,37,1,0,42.1 
148,Utah,49,1,0,30.3 
149,Wisconsin,55,1,0,29.7 
150,Arizona,4,3,0,33.0 
151,California,6,81,1,22.9 
152,Indiana,18,1,0,35.9 
153,Kentucky,21,1,0,43.4 
154,Maryland,24,3,0,28.0 
155,Minnesota,27,1,0,23.5 
156,Nebraska,31,14,0,31.1 
157,New Jersey,34,4,0,22.7 
158,New York,36,44,0,23.1 
159,North Carolina,37,2,0,42.1 
160,Oklahoma,40,1,0,46.5 
161,South Carolina,45,2,0,42.0 
162,Utah,49,3,0,30.3 
163,Wisconsin,55,1,0,29.7 
164,Arizona,4,5,0,33.0 
165,California,6,100,1,22.9 
166,District of Columbia,11,1,0,18.5 
167,Indiana,18,1,0,35.9 
168,Kansas,20,1,0,32.4 
169,Kentucky,21,1,0,43.4 
170,Maryland,24,3,0,28.0 
171,Minnesota,27,1,0,23.5 
172,Nebraska,31,14,0,31.1 
173,New Jersey,34,4,0,22.7 
174,New York,36,89,0,23.1 
175,North Carolina,37,2,0,42.1 
176,Oklahoma,40,1,0,46.5 
177,South Carolina,45,2,0,42.0 
178,Utah,49,3,0,30.3 
179,Vermont,50,1,0,16.7 
180,Wisconsin,55,1,0,29.7 
